id,title,logo,url,level,surface,level_logo,start_date,end_date,year,month,city,country,state,tour_code_alpha_2,tour_code_alpha_3,tour_country_code_m49,tour_region_code,alternative_name,tour_region,tour_subregion,tour_fifa,rank,points_gain,prize_money,draw,name,seed,flag,round,win_loss,score,url_profile,retired,walkover,bye,first_set_tiebreak,second_set_tiebreak,third_set_tiebreak,has_tiebreak,number_of_sets,first_set_won,total_games,winner_games,loser_games,code_alpha_2,code_alpha_3,country_code_m49,region_code,region,subregion,fifa,splitted_score,entry_type
1,US Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2025,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-08-24,2025-09-07,2025,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,4.0,130.0,237000.0,128M/128Q/64D,Jessica Pegula,4.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 32,L,"1-6, 5-7",https://www.wtatennis.com/players/316956/jessica-pegula,False,False,False,False,False,False,False,2,False,19,6,13,US,USA,840,019,America,Northern America,USA,"1,6,None|5,7,None",
2,US Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2025,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-08-24,2025-09-07,2025,8,New York,RUS,NY,US,USA,840,019,,America,Northern America,USA,45.0,130.0,237000.0,128M/128Q/64D,Anastasia Pavlyuchenkova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Round of 64,W,"6-3, 6-3",https://www.wtatennis.com/players/313796/anastasia-pavlyuchenkova,False,False,False,False,False,False,False,2,True,18,12,6,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,3,None|6,3,None",
3,US Open,https://photoresources.wtatennis.com/photo-resources/2026/04/16/8d0a3d41-7b45-434b-a75b-b7d2eb0922b4/WTA-Tournament_US-Open.png?height=128,https://www.wtatennis.com/tournaments/905/us-open/2025,Grand Slam,Hard,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-08-24,2025-09-07,2025,8,New York,USA,NY,US,USA,840,019,United States of America|America|USA|US,America,Northern America,USA,215.0,130.0,237000.0,128M/128Q/64D,Hina Inoue,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 128,W,"7-6 (0), 6-4",https://www.wtatennis.com/players/328320/hina-inoue,False,False,False,True,False,False,True,2,True,23,13,10,US,USA,840,019,America,Northern America,USA,"7,6,0|6,4,None",
1,"The Championships, Wimbledon",https://photoresources.wtatennis.com/photo-resources/2026/04/16/d29814e6-6e80-4015-b680-9a7f3cb065c3/WTA-Tournament_Wimbledon.png?height=128,https://www.wtatennis.com/tournaments/904/wimbledon/2025,Grand Slam,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-06-30,2025-07-13,2025,6,Wimbledon,RUS,,GB,GBR,826,150,,Europe,Northern Europe,ENG,95.0,10.0,89465.0,128M/128Q/64D,Anastasia Zakharova,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Round of 128,L,"2-6, 6-2, 1-6",https://www.wtatennis.com/players/327367/anastasia-zakharova,False,False,False,False,False,False,False,3,False,23,9,14,RU,RUS,643,150,Europe,Eastern Europe,RUS,"2,6,None|6,2,None|1,6,None",
1,Bad Homburg Open powered by Solarwatt,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4ae17020-01fc-4d27-a041-001034ed25de/WTA-Tournament_BadHomburg-2021.png?height=128,https://www.wtatennis.com/tournaments/2017/bad-homburg/2025,WTA 500,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2025-06-22,2025-06-28,2025,6,Bad Homburg,POL,,DE,DEU,276,150,,Europe,Central Europe,GER,8.0,85.0,15170.0,32M/16Q/16D,Iga Swiatek,4.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/pol.svg,Round of 16,L,"4-6, 4-6",https://www.wtatennis.com/players/326408/iga-swiatek,False,False,False,False,False,False,False,2,False,20,8,12,PL,POL,616,150,Europe,Central Europe,POL,"4,6,None|4,6,None",Q
2,Bad Homburg Open powered by Solarwatt,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4ae17020-01fc-4d27-a041-001034ed25de/WTA-Tournament_BadHomburg-2021.png?height=128,https://www.wtatennis.com/tournaments/2017/bad-homburg/2025,WTA 500,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2025-06-22,2025-06-28,2025,6,Bad Homburg,GER,,DE,DEU,276,150,,Europe,Central Europe,GER,103.0,85.0,15170.0,32M/16Q/16D,Laura Siegemund,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/ger.svg,Round of 32,W,"6-2, 6-2",https://www.wtatennis.com/players/310926/laura-siegemund,False,False,False,False,False,False,False,2,True,16,12,4,DE,DEU,276,150,Europe,Central Europe,GER,"6,2,None|6,2,None",Q
3,Bad Homburg Open powered by Solarwatt,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4ae17020-01fc-4d27-a041-001034ed25de/WTA-Tournament_BadHomburg-2021.png?height=128,https://www.wtatennis.com/tournaments/2017/bad-homburg/2025,WTA 500,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2025-06-22,2025-06-28,2025,6,Bad Homburg,RUS,,DE,DEU,276,150,,Europe,Central Europe,GER,43.0,85.0,15170.0,32M/16Q/16D,Veronika Kudermetova,3.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/rus.svg,Qualifying R2 Qual. R2,W,"6-7 (4), 6-3, 6-4",https://www.wtatennis.com/players/319526/veronika-kudermetova,False,False,False,True,False,False,True,3,False,32,18,14,RU,RUS,643,150,Europe,Eastern Europe,RUS,"6,7,4|6,3,None|6,4,None",Q
4,Bad Homburg Open powered by Solarwatt,https://photoresources.wtatennis.com/photo-resources/2026/04/16/4ae17020-01fc-4d27-a041-001034ed25de/WTA-Tournament_BadHomburg-2021.png?height=128,https://www.wtatennis.com/tournaments/2017/bad-homburg/2025,WTA 500,Grass,https://www.wtatennis.com/resources/v7.42.0/i/elements/500k-tag.svg,2025-06-22,2025-06-28,2025,6,Bad Homburg,USA,,DE,DEU,276,150,United States of America|America|USA|US,Europe,Central Europe,GER,213.0,85.0,15170.0,32M/16Q/16D,Caty Mcnally,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Qualifying R1 Qual. R1,W,"4-6, 6-2, 6-0",https://www.wtatennis.com/players/325725/caty-mcnally,False,False,False,False,False,False,False,3,False,24,16,8,US,USA,840,019,America,Northern America,USA,"4,6,None|6,2,None|6,0,None",Q
1,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/903/roland-garros/2025,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-05-25,2025-06-08,2025,5,Paris,USA,,FR,FRA,250,150,United States of America|America|USA|US,Europe,Western Europe,FRA,30.0,70.0,126679.0,128M/128Q/64D,Sofia Kenin,31.0,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/usa.svg,Round of 64,L,"6-7 (5), 4-6",https://www.wtatennis.com/players/320942/sofia-kenin,False,False,False,True,False,False,True,2,False,23,10,13,US,USA,840,019,America,Northern America,USA,"6,7,5|4,6,None",
2,Roland Garros,https://photoresources.wtatennis.com/photo-resources/2026/04/16/0893d8be-5450-4e36-a144-cdd958c1b484/WTA-Tournament_Roland-Garros.png?height=128,https://www.wtatennis.com/tournaments/903/roland-garros/2025,Grand Slam,Clay,https://www.wtatennis.com/resources/v7.42.0/i/elements/gs-tag.svg,2025-05-25,2025-06-08,2025,5,Paris,BEL,,FR,FRA,250,150,,Europe,Western Europe,FRA,1140.0,70.0,126679.0,128M/128Q/64D,Yanina Wickmayer,,https://www.wtatennis.com/resources/v7.42.0/i/elements/flags/bel.svg,Round of 128,W,"6-0, 6-0",https://www.wtatennis.com/players/312536/yanina-wickmayer,False,False,False,False,False,False,False,2,True,12,12,0,BE,BEL,056,150,Europe,Western Europe,BEL,"6,0,None|6,0,None",
